title,release date,budget
Iron Man,2008-05-02,"140,000,000"
The Incredible Hulk,2008-06-13,$137.5–150 million
Iron Man 2,2010-05-07,$170–200 million
Thor,2011-05-06,$150 million
Captain America: The First Avenger,2011-07-22,$140 million
The Avengers,2012-05-04,$220 million
Iron Man 3,2013-05-03,$200 million
Thor: The Dark World,2013-11-08,$150–170 million
Captain America: The Winter Soldier,2014-04-04,$170–177 million
Guardians of the Galaxy,2014-08-01,$170 million
Avengers: Age of Ultron,2015-05-01,$250–444 million
Ant-Man,2015-07-17,$130 million
Captain America: Civil War,2016-05-06,$250 million
Doctor Strange,2016-11-04,$165 million
Guardians of the Galaxy Vol. 2,2017-05-05,$200 million
Spider-Man: Homecoming,2017-07-07,$175 million
Thor: Ragnarok,2017-11-03,$180 million
Black Panther,2018-02-16,$200 million
Avengers: Infinity War,2018-04-27,$325–400 million
Ant-Man and the Wasp,2018-07-06,$162 million
Captain Marvel,2019-03-08,$150–175 million
Avengers: Endgame,2019-04-26,$356–400 million
Spider-Man: Far From Home,2019-07-02,$160 million
Black Widow,2021-07-09,$200 million
Shang-Chi and the Legend of the Ten Rings,2021-09-03,$150–200 million
Eternals,2021-11-05,$236.2 million
Spider-Man: No Way Home,2021-12-17,$200 million
Doctor Strange in the Multiverse of Madness,2022-05-06,$172–200 million
Thor: Love and Thunder,2022-07-08,$250 million
Black Panther: Wakanda Forever,2022-11-11,$250 million
Ant-Man and the Wasp: Quantumania,2023-02-17,$388.4 million
Guardians of the Galaxy Vol. 3,2023-05-05,$250 million
The Marvels,2023-11-10,$375 million
Deadpool & Wolverine,2024-07-26,$200 million
Captain America: Brave New World,2025-02-14,$180 million
Thunderbolts*,2025-05-02,$180 million
The Fantastic Four: First Steps,2025-07-25,$200 million