title,blank,internet,total,internet_total_ratio,internet_dominance
Rampage,1,1,19,0.05,no
Americana,1,0,4,0.00,no
Red Rain,1,0,1,0.00,no
Lokah Chapter 1: Chandra,2,1,9,0.11,no
The Senior,3,0,4,0.00,no
Anna,4,2,15,0.13,no
Friendship,4,2,20,0.10,no
Witchboard,4,0,5,0.00,no
Eileen,5,5,27,0.19,no
Watcher,6,5,33,0.15,no
"Are You There God? It's Me, Margaret.",6,6,21,0.29,no
Chhaava,6,1,10,0.10,no
Mahavatar Narsimha,6,3,11,0.27,no
Coherence,7,3,46,0.07,no
42,8,2,27,0.07,no
Summer of 84,8,1,38,0.03,no
Game Changer,8,1,10,0.10,no
Vikram,9,4,17,0.24,no
Pearl,9,4,41,0.10,no
Kantara,9,4,20,0.20,no
Animal,9,2,13,0.15,no
The Other Woman,10,0,21,0.00,no
Sooryavanshi,10,4,26,0.15,no
Thunivu,10,3,14,0.21,no
Adipurush,10,6,20,0.30,no
Heart Eyes,10,3,16,0.19,no
Martyrs,11,0,60,0.00,no
Dope,11,2,39,0.05,no
First Reformed,11,1,55,0.02,no
Infinity Pool,11,2,22,0.09,no
Salaar: Part 1 - Ceasefire,11,1,19,0.05,no
Honey Don't!,11,1,17,0.06,no
Hunt for the Wilderpeople,12,5,71,0.07,no
Sorry to Bother You,12,5,43,0.12,no
Speak No Evil,12,2,41,0.05,no
Death of a Unicorn,12,4,25,0.16,no
I Spit on Your Grave,13,1,46,0.02,no
Ponniyin Selvan: Part I,13,1,16,0.06,no
Nefarious,13,3,19,0.16,no
Leo,13,4,21,0.19,no
Harold & Kumar Escape from Guantanamo Bay,14,1,26,0.04,no
Swiss Army Man,14,2,61,0.03,no
Raw,14,3,79,0.04,no
Dunki,14,2,19,0.11,no
The Secret Agent,14,0,64,0.00,no
Tiger 3,15,2,18,0.11,no
The Woman in the Yard,15,3,24,0.13,no
Eden,15,11,30,0.37,no
The Midnight Meat Train,16,2,52,0.04,no
Green Room,16,1,73,0.01,no
Fences,16,5,41,0.12,no
A Ghost Story,16,1,56,0.02,no
BlackBerry,16,6,43,0.14,no
The Alto Knights,16,6,23,0.26,no
American Animals,17,1,51,0.02,no
K.G.F: Chapter 2,18,2,23,0.09,no
Bodies Bodies Bodies,18,9,39,0.23,no
Living,18,2,60,0.03,no
Ride Along,19,2,32,0.06,no
The Edge of Seventeen,19,7,40,0.18,no
Sanju,19,2,26,0.08,no
Last Breath,19,5,27,0.19,no
Repo Men,20,2,36,0.06,no
Aloha,20,5,34,0.15,no
RRR,20,10,52,0.19,no
The Guard,21,0,41,0.00,no
Predestination,21,2,53,0.04,no
The Wailing,21,2,64,0.03,no
All of Us Strangers,21,2,59,0.03,no
Outlander,22,0,41,0.00,no
Mud,22,0,40,0.00,no
Filth,22,3,44,0.07,no
Life,22,1,36,0.03,no
"Sorry, Baby",22,2,46,0.04,no
Passengers,23,0,35,0.00,no
Your Highness,23,2,35,0.06,no
Attack the Block,23,0,48,0.00,no
Upgrade,23,4,49,0.08,no
Pig,23,6,56,0.11,no
The Love Guru,24,0,30,0.00,no
Beginners,24,0,42,0.00,no
Out of the Furnace,24,2,39,0.05,no
Kalki 2898-AD,24,3,31,0.10,no
The Wave,25,0,51,0.00,no
30 Minutes or Less,25,1,37,0.03,no
Warrior,25,3,42,0.07,no
The Babadook,25,1,76,0.01,no
What Happened to Monday,25,10,48,0.21,no
Stillwater,25,7,42,0.17,no
Monsters,26,1,55,0.02,no
The Autopsy of Jane Doe,26,2,69,0.03,no
Terrifier 2,26,4,38,0.11,no
Guy Ritchie's The Covenant,26,13,40,0.33,no
The Promised Land,26,0,46,0.00,no
Fight or Flight,26,8,39,0.21,no
Eddington,26,1,39,0.03,no
Waltz with Bashir,27,0,70,0.00,no
The Way Way Back,27,0,50,0.00,no
Hostiles,27,0,45,0.00,no
Under the Silver Lake,27,1,51,0.02,no
X,27,1,39,0.03,no
Crimes of the Future,27,5,68,0.07,no
Locke,28,0,62,0.00,no
It Comes at Night,28,2,38,0.05,no
Freelance,28,6,34,0.18,no
The Color Purple,28,2,42,0.05,no
Pineapple Express,29,4,53,0.08,no
Only God Forgives,29,0,45,0.00,no
Anchorman 2: The Legend Continues,29,0,45,0.00,no
The Raid 2,29,1,61,0.02,no
The Farewell,29,1,59,0.02,no
Bros,29,2,45,0.04,no
May December,29,9,71,0.13,no
Strange Darling,29,2,47,0.04,no
The Losers,30,2,47,0.04,no
Drive My Car,30,3,85,0.04,no
Women Talking,30,2,66,0.03,no
Robot Dreams,30,0,75,0.00,no
The Boy in the Striped Pyjamas,31,6,55,0.11,no
Blitz,31,1,43,0.02,no
Jackass Presents: Bad Grandpa,31,3,51,0.06,no
Pathaan,31,3,40,0.08,no
MaXXXine,31,1,42,0.02,no
Never Let Me Go,32,1,64,0.02,no
Winter's Bone,32,0,73,0.00,no
The Dead Don't Die,32,3,57,0.05,no
Fall,32,5,42,0.12,no
Godzilla Minus One,32,7,70,0.10,no
Nebraska,33,0,64,0.00,no
The Promise,33,0,43,0.00,no
Belfast,33,1,73,0.01,no
The Iron Claw,33,3,44,0.07,no
Kinds of Kindness,33,3,55,0.05,no
Burning,34,0,155,0.00,no
Booksmart,34,2,49,0.04,no
Men,34,2,44,0.05,no
Orphan: First Kill,34,2,54,0.04,no
Bones and All,34,2,53,0.04,no
The Ugly Stepsister,34,1,54,0.02,no
Get Hard,35,2,45,0.04,no
The Handmaiden,35,4,109,0.04,no
The Disaster Artist,35,0,68,0.00,no
Good Time,35,2,75,0.03,no
The Death of Stalin,35,0,59,0.00,no
Fighting with My Family,35,1,44,0.02,no
Blindness,36,0,59,0.00,no
Step Brothers,36,1,49,0.02,no
The Last Song,36,1,42,0.02,no
Oldboy,36,0,48,0.00,no
Knock Knock,36,2,55,0.04,no
The Holdovers,36,1,74,0.01,no
Dream Scenario,36,1,66,0.02,no
Jane Eyre,37,0,59,0.00,no
The Hunt,37,1,84,0.01,no
Spring Breakers,37,0,75,0.00,no
Oculus,37,4,69,0.06,no
Paterson,37,1,84,0.01,no
Copshop,37,8,47,0.17,no
The Whale,37,1,67,0.01,no
Dumb Money,37,0,43,0.00,no
Tár,37,1,59,0.02,no
Forgetting Sarah Marshall,38,3,50,0.06,no
Ponyo,38,4,70,0.06,no
Homefront,38,1,51,0.02,no
Straight Outta Compton,38,2,50,0.04,no
American Ultra,38,0,44,0.00,no
BlacKkKlansman,38,1,69,0.01,no
The Green Knight,38,9,56,0.16,no
Evil Dead Rise,38,2,44,0.05,no
Priscilla,38,2,64,0.03,no
Next Goal Wins,38,1,44,0.02,no
Thanksgiving,38,1,43,0.02,no
The Bikeriders,38,1,57,0.02,no
The Phoenician Scheme,38,1,43,0.02,no
Hot Tub Time Machine,39,0,50,0.00,no
Trance,39,0,47,0.00,no
The Big Sick,39,1,64,0.02,no
Three Thousand Years of Longing,39,4,58,0.07,no
The Banshees of Inisherin,39,4,94,0.04,no
She Said,39,1,67,0.01,no
Anyone But You,39,1,42,0.02,no
Night Swim,39,2,46,0.04,no
The Watchers,39,1,47,0.02,no
Trap,39,1,44,0.02,no
I Know What You Did Last Summer,39,0,39,0.00,no
Red Riding Hood,40,2,56,0.04,no
Hardcore Henry,40,1,54,0.02,no
Only the Brave,40,2,48,0.04,no
Tag,40,3,46,0.07,no
In the Heights,40,3,49,0.06,no
Amsterdam,40,2,49,0.04,no
Beau Is Afraid,40,2,52,0.04,no
Ferrari,40,6,54,0.11,no
Drop,40,2,47,0.04,no
The Accountant 2,40,3,49,0.06,no
The Gift,41,2,55,0.04,no
Eye in the Sky,41,3,63,0.05,no
The Purge: Election Year,41,2,49,0.04,no
Hotel Artemis,41,0,46,0.00,no
The Upside,41,5,55,0.09,no
Smile,41,2,49,0.04,no
The Boogeyman,41,1,43,0.02,no
Poor Things,41,4,91,0.04,no
Borderlands,41,2,48,0.04,no
The Strangers,42,2,51,0.04,no
The Switch,42,0,50,0.00,no
The Cabin in the Woods,42,0,67,0.00,no
The Founder,42,2,55,0.04,no
The Forever Purge,42,4,55,0.07,no
Don't Worry Darling,42,2,51,0.04,no
Winnie the Pooh: Blood and Honey,42,3,56,0.05,no
The Pope's Exorcist,42,0,43,0.00,no
Den of Thieves 2: Pantera,42,3,47,0.06,no
Presence,42,1,58,0.02,no
Flight Risk,42,2,47,0.04,no
Until Dawn,42,1,45,0.02,no
Together,42,0,52,0.00,no
Afterburn,42,2,45,0.04,no
She's Out of My League,43,3,51,0.06,no
The Change-Up,43,2,54,0.04,no
Fright Night,43,1,54,0.02,no
Tinker Tailor Soldier Spy,43,0,56,0.00,no
The Place Beyond the Pines,43,0,53,0.00,no
Before Midnight,43,0,71,0.00,no
Delivery Man,43,1,47,0.02,no
No Escape,43,3,51,0.06,no
The Florida Project,43,2,99,0.02,no
Blockers,43,1,46,0.02,no
Knock at the Cabin,43,1,55,0.02,no
The Substance,43,2,79,0.03,no
I'm Still Here,43,0,89,0.00,no
Wolf Man,43,1,49,0.02,no
A Working Man,43,4,49,0.08,no
Splitsville,43,0,51,0.00,no
Date Night,44,0,53,0.00,no
Conan the Barbarian,44,0,53,0.00,no
Philomena,44,1,69,0.01,no
The Neon Demon,44,1,70,0.01,no
Hidden Figures,44,1,52,0.02,no
Call Me by Your Name,44,0,116,0.00,no
"Love, Simon",44,1,64,0.02,no
After,44,4,49,0.08,no
Fantastic Beasts: The Secrets of Dumbledore,44,1,46,0.02,no
The Menu,44,3,71,0.04,no
A Man Called Otto,44,0,49,0.00,no
Plane,44,1,48,0.02,no
Scream VI,44,2,54,0.04,no
Dungeons & Dragons: Honor Among Thieves,44,4,58,0.07,no
It Ends with Us,44,1,46,0.02,no
Babygirl,44,1,53,0.02,no
The Lincoln Lawyer,45,3,53,0.06,no
Insidious,45,0,55,0.00,no
Bad Teacher,45,4,54,0.07,no
Carnage,45,0,61,0.00,no
Machete Kills,45,1,49,0.02,no
Chef,45,1,65,0.02,no
Wild Tales,45,0,94,0.00,no
Self/less,45,1,50,0.02,no
Wind River,45,2,74,0.03,no
Hotel Mumbai,45,4,73,0.05,no
Ma,45,1,49,0.02,no
Good Boys,45,1,49,0.02,no
Luca,45,25,75,0.33,no
Antlers,45,1,54,0.02,no
Spencer,45,1,76,0.01,no
The Unbearable Weight of Massive Talent,45,3,54,0.06,no
Doctor Strange in the Multiverse of Madness,45,1,47,0.02,no
Black Adam,45,0,45,0.00,no
Black Panther: Wakanda Forever,45,2,49,0.04,no
Violent Night,45,3,50,0.06,no
Creed III,45,1,48,0.02,no
Companion,45,1,50,0.02,no
Bridget Jones: Mad About the Boy,45,2,47,0.04,no
August: Osage County,46,1,71,0.01,no
Nocturnal Animals,46,3,76,0.04,no
Going in Style,46,0,52,0.00,no
Midsommar,46,0,60,0.00,no
King Richard,46,3,66,0.05,no
Resident Evil: Welcome to Raccoon City,46,5,56,0.09,no
Migration,46,1,53,0.02,no
Bad Boys: Ride or Die,46,1,57,0.02,no
Killers,47,0,56,0.00,no
Hanna,47,1,61,0.02,no
Contagion,47,0,64,0.00,no
The Circle,47,1,51,0.02,no
Don't Breathe 2,47,4,52,0.08,no
Where the Crawdads Sing,47,0,52,0.00,no
Operation Fortune: Ruse de Guerre,47,7,57,0.12,no
Missing,47,4,53,0.08,no
Expend4bles,47,1,55,0.02,no
Longlegs,47,1,63,0.02,no
Novocaine,47,1,51,0.02,no
You Don't Mess with the Zohan,48,1,56,0.02,no
The Tree of Life,48,1,70,0.01,no
"Crazy, Stupid, Love.",48,2,59,0.03,no
Drive,48,1,74,0.01,no
3 Days to Kill,48,2,55,0.04,no
Moonlight,48,2,86,0.02,no
Molly's Game,48,1,66,0.02,no
Shazam! Fury of the Gods,48,2,54,0.04,no
No Hard Feelings,48,6,54,0.11,no
The Brutalist,48,1,97,0.01,no
Black Bag,48,3,62,0.05,no
M3GAN 2.0,48,0,51,0.00,no
Street Kings,49,0,59,0.00,no
The Forbidden Kingdom,49,2,61,0.03,no
Speed Racer,49,0,59,0.00,no
What Happens in Vegas,49,1,60,0.02,no
Star Wars: The Clone Wars,49,2,60,0.03,no
Final Destination 5,49,2,68,0.03,no
Johnny English Reborn,49,3,57,0.05,no
The Grand Budapest Hotel,49,2,78,0.03,no
A Million Ways to Die in the West,49,1,56,0.02,no
The Age of Adaline,49,1,53,0.02,no
Legend,49,0,57,0.00,no
Mile 22,49,0,53,0.00,no
The Last Duel,49,1,59,0.02,no
Nightmare Alley,49,2,61,0.03,no
Top Gun: Maverick,49,1,71,0.01,no
Renfield,49,2,59,0.03,no
The Flash,49,2,51,0.04,no
The Beekeeper,49,3,55,0.05,no
The Monkey,49,2,59,0.03,no
Final Destination Bloodlines,49,2,62,0.03,no
Tropic Thunder,50,0,64,0.00,no
The Call,50,0,57,0.00,no
The Bling Ring,50,0,67,0.00,no
The Counselor,50,1,60,0.02,no
Snowden,50,1,66,0.02,no
Lady Bird,50,0,80,0.00,no
Daddy's Home 2,50,5,58,0.09,no
"I, Tonya",50,0,88,0.00,no
12 Strong,50,0,57,0.00,no
Den of Thieves,50,2,61,0.03,no
Game Night,50,3,54,0.06,no
Happy Death Day 2U,50,0,52,0.00,no
Ready or Not,50,0,59,0.00,no
Jungle Cruise,50,5,59,0.08,no
Reminiscence,50,3,61,0.05,no
Malignant,50,4,55,0.07,no
Death on the Nile,50,1,55,0.02,no
Everything Everywhere All at Once,50,5,86,0.06,no
The Fabelmans,50,1,74,0.01,no
The Hunger Games: The Ballad of Songbirds & Snakes,50,0,54,0.00,no
Wonka,50,2,56,0.04,no
A Quiet Place: Day One,50,1,57,0.02,no
Karate Kid: Legends,50,0,57,0.00,no
Limitless,51,0,58,0.00,no
Horrible Bosses,51,1,60,0.02,no
The Three Musketeers,51,1,57,0.02,no
Sinister,51,1,62,0.02,no
Last Vegas,51,0,55,0.00,no
Lone Survivor,51,1,63,0.02,no
Non-Stop,51,0,57,0.00,no
Neighbors 2: Sorority Rising,51,0,56,0.00,no
Lion,51,0,79,0.00,no
Logan Lucky,51,0,64,0.00,no
Happy Death Day,51,2,64,0.03,no
Isle of Dogs,51,0,69,0.00,no
Hereditary,51,0,60,0.00,no
Space Jam: A New Legacy,51,4,57,0.07,no
Candyman,51,0,55,0.00,no
The Lost City,51,3,58,0.05,no
Morbius,51,2,55,0.04,no
DC League of Super-Pets,51,1,56,0.02,no
Babylon,51,2,58,0.03,no
A Minecraft Movie,51,2,55,0.04,no
The Happening,52,0,61,0.00,no
Hellboy II: The Golden Army,52,0,59,0.00,no
Priest,52,1,56,0.02,no
The Help,52,1,74,0.01,no
47 Ronin,52,2,59,0.03,no
Transcendence,52,0,55,0.00,no
Begin Again,52,0,73,0.00,no
Central Intelligence,52,1,60,0.02,no
Why Him?,52,2,60,0.03,no
Silence,52,1,67,0.01,no
Parasite,52,1,144,0.01,no
Ant-Man and the Wasp: Quantumania,52,3,55,0.05,no
Fast X,52,1,61,0.02,no
Trolls Band Together,52,1,57,0.02,no
The Marvels,52,2,56,0.04,no
Alien: Romulus,52,2,61,0.03,no
Mission: Impossible - The Final Reckoning,52,1,67,0.01,no
Battle: Los Angeles,53,0,58,0.00,no
The Descendants,53,0,76,0.00,no
The Family,53,0,57,0.00,no
The Secret Life of Walter Mitty,53,0,62,0.00,no
Trainwreck,53,1,62,0.02,no
Don't Breathe,53,1,62,0.02,no
Bridget Jones's Baby,53,1,63,0.02,no
Collateral Beauty,53,1,62,0.02,no
The Lost City of Z,53,0,74,0.00,no
Scary Stories to Tell in the Dark,53,0,61,0.00,no
The Conjuring: The Devil Made Me Do It,53,2,59,0.03,no
Snake Eyes: G.I. Joe Origins,53,2,58,0.03,no
The Black Phone,53,1,65,0.02,no
Bullet Train,53,1,73,0.01,no
Transformers: Rise of the Beasts,53,2,66,0.03,no
The Wild Robot,53,1,65,0.02,no
Mufasa: The Lion King,53,4,63,0.06,no
The Amateur,53,2,59,0.03,no
A Nightmare on Elm Street,54,1,67,0.01,no
Water for Elephants,54,0,62,0.00,no
Mr. Popper's Penguins,54,0,60,0.00,no
The Host,54,1,60,0.02,no
Insidious: Chapter 2,54,1,57,0.02,no
Pompeii,54,0,61,0.00,no
Office Christmas Party,54,0,61,0.00,no
Baywatch,54,2,58,0.03,no
Wonder,54,0,62,0.00,no
Darkest Hour,54,0,75,0.00,no
Downsizing,54,0,71,0.00,no
The Post,54,0,69,0.00,no
The Equalizer 2,54,2,58,0.03,no
The Spy Who Dumped Me,54,1,59,0.02,no
Brightburn,54,1,56,0.02,no
The Hustle,54,2,57,0.04,no
Rocketman,54,1,67,0.01,no
The Suicide Squad,54,2,62,0.03,no
Last Night in Soho,54,1,79,0.01,no
Indiana Jones and the Dial of Destiny,54,1,63,0.02,no
