Film[36],U.S. release date,Director,Screenwriter(s),Producer(s),Director(s),Producer,Film[36][96],Status,Film,Screenwriter,"('Film', 'Film', 'Phase One')","('U.S. release date', 'U.S. release date', 'Phase One')","('Box office gross', 'U.S. and Canada', 'Phase One')","('Box office gross', 'Other territories', 'Phase One')","('Box office gross', 'Worldwide', 'Phase One')","('All-time ranking', 'U.S. and Canada', 'Phase One')","('All-time ranking', 'Worldwide', 'Phase One')","('Budget', 'Budget', 'Phase One')","('Ref.', 'Ref.', 'Phase One')","('Critical', 'Rotten Tomatoes', 'Phase One')","('Critical', 'Metacritic', 'Phase One')","('Public', 'CinemaScore', 'Phase One')","('Public', 'PostTrak', 'Phase One')"
Iron Man,"May 2, 2008",Jon Favreau[39],Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway[39][40],Avi Arad and Kevin Feige,,,,,,,,,,,,,,,,,,,
The Incredible Hulk,"June 13, 2008",Louis Leterrier[41],Zak Penn[42],"Avi Arad, Gale Anne Hurd, and Kevin Feige",,,,,,,,,,,,,,,,,,,
Iron Man 2,"May 7, 2010",Jon Favreau[43],Justin Theroux[44],Kevin Feige,,,,,,,,,,,,,,,,,,,
Thor,"May 6, 2011",Kenneth Branagh[45],Ashley Edward Miller & Zack Stentz and Don Payne[46],Kevin Feige,,,,,,,,,,,,,,,,,,,
Captain America: The First Avenger,"July 22, 2011",Joe Johnston[47],Christopher Markus & Stephen McFeely[48],Kevin Feige,,,,,,,,,,,,,,,,,,,
The Avengers,"May 4, 2012",Joss Whedon[49],Joss Whedon[49],Kevin Feige,,,,,,,,,,,,,,,,,,,
Iron Man 3,"May 3, 2013",,Drew Pearce & Shane Black[50][51],,Shane Black[50],Kevin Feige,,,,,,,,,,,,,,,,,
Thor: The Dark World,"November 8, 2013",,Christopher L. Yost and Christopher Markus & Stephen McFeely[53],,Alan Taylor[52],Kevin Feige,,,,,,,,,,,,,,,,,
Captain America: The Winter Soldier,"April 4, 2014",,Christopher Markus & Stephen McFeely[55],,Anthony and Joe Russo[54],Kevin Feige,,,,,,,,,,,,,,,,,
Guardians of the Galaxy,"August 1, 2014",,James Gunn and Nicole Perlman[57],,James Gunn[56],Kevin Feige,,,,,,,,,,,,,,,,,
Avengers: Age of Ultron,"May 1, 2015",,Joss Whedon[58],,Joss Whedon[58],Kevin Feige,,,,,,,,,,,,,,,,,
Ant-Man,"July 17, 2015",,Edgar Wright & Joe Cornish and Adam McKay & Paul Rudd[60],,Peyton Reed[59],Kevin Feige,,,,,,,,,,,,,,,,,
Captain America: Civil War,"May 6, 2016",,Christopher Markus & Stephen McFeely[61],Kevin Feige,Anthony and Joe Russo[61],,,,,,,,,,,,,,,,,,
Doctor Strange,"November 4, 2016",,Jon Spaihts and Scott Derrickson & C. Robert Cargill[63],Kevin Feige,Scott Derrickson[62],,,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,"May 5, 2017",,James Gunn[57],Kevin Feige,James Gunn[57],,,,,,,,,,,,,,,,,,
Spider-Man: Homecoming,"July 7, 2017",,Jonathan Goldstein & John Francis Daley and Jon Watts & Christopher Ford and Chris McKenna & Erik Sommers[65],Kevin Feige and Amy Pascal,Jon Watts[64],,,,,,,,,,,,,,,,,,
Thor: Ragnarok,"November 3, 2017",,Eric Pearson and Craig Kyle & Christopher L. Yost[67][68],Kevin Feige,Taika Waititi[66],,,,,,,,,,,,,,,,,,
Black Panther,"February 16, 2018",,Ryan Coogler & Joe Robert Cole[70][71],Kevin Feige,Ryan Coogler[69],,,,,,,,,,,,,,,,,,
Avengers: Infinity War,"April 27, 2018",,Christopher Markus & Stephen McFeely[73],Kevin Feige,Anthony and Joe Russo[72],,,,,,,,,,,,,,,,,,
Ant-Man and the Wasp,"July 6, 2018",,Chris McKenna & Erik Sommers and Paul Rudd & Andrew Barrer & Gabriel Ferrari[75],Kevin Feige and Stephen Broussard,Peyton Reed[74],,,,,,,,,,,,,,,,,,
Captain Marvel,"March 8, 2019",,Anna Boden & Ryan Fleck & Geneva Robertson-Dworet[77],Kevin Feige,Anna Boden & Ryan Fleck[76],,,,,,,,,,,,,,,,,,
Avengers: Endgame,"April 26, 2019",,Christopher Markus & Stephen McFeely[73],Kevin Feige,Anthony and Joe Russo[72],,,,,,,,,,,,,,,,,,
Spider-Man: Far From Home,"July 2, 2019",,Chris McKenna & Erik Sommers[79],Kevin Feige and Amy Pascal,Jon Watts[78],,,,,,,,,,,,,,,,,,
Black Widow,"July 9, 2021[b]",Cate Shortland[81],Eric Pearson[82],Kevin Feige,,,,,,,,,,,,,,,,,,,
Shang-Chi and the Legend of the Ten Rings,"September 3, 2021",Destin Daniel Cretton[83],Dave Callaham & Destin Daniel Cretton & Andrew Lanham[84],Kevin Feige and Jonathan Schwartz,,,,,,,,,,,,,,,,,,,
Eternals,"November 5, 2021",Chloé Zhao[85],Chloé Zhao and Chloé Zhao & Patrick Burleigh and Ryan Firpo & Kaz Firpo[86][87][c],Kevin Feige and Nate Moore,,,,,,,,,,,,,,,,,,,
Spider-Man: No Way Home,"December 17, 2021",Jon Watts[88],Chris McKenna & Erik Sommers[89],Kevin Feige and Amy Pascal,,,,,,,,,,,,,,,,,,,
Doctor Strange in the Multiverse of Madness,"May 6, 2022",Sam Raimi[90],Michael Waldron[91],Kevin Feige,,,,,,,,,,,,,,,,,,,
Thor: Love and Thunder,"July 8, 2022",Taika Waititi[92],Taika Waititi & Jennifer Kaytin Robinson[93],Kevin Feige and Brad Winderbaum,,,,,,,,,,,,,,,,,,,
Black Panther: Wakanda Forever,"November 11, 2022",Ryan Coogler[94],Ryan Coogler & Joe Robert Cole[94][95],Kevin Feige and Nate Moore,,,,,,,,,,,,,,,,,,,
,"February 17, 2023",Peyton Reed[97],Jeff Loveness[98],Kevin Feige and Stephen Broussard,,,Ant-Man and the Wasp: Quantumania,,,,,,,,,,,,,,,,
,"May 5, 2023",James Gunn[99],James Gunn[99],Kevin Feige,,,Guardians of the Galaxy Vol. 3,,,,,,,,,,,,,,,,
,"November 10, 2023",Nia DaCosta[100],Nia DaCosta and Megan McDonnell and Elissa Karasik[101],Kevin Feige,,,The Marvels,,,,,,,,,,,,,,,,
,"July 26, 2024",Shawn Levy[102],Ryan Reynolds & Rhett Reese & Paul Wernick & Zeb Wells & Shawn Levy[103],"Kevin Feige, Lauren Shuler Donner, Ryan Reynolds, and Shawn Levy",,,Deadpool & Wolverine,,,,,,,,,,,,,,,,
,"February 14, 2025",Julius Onah[104],Rob Edwards and Malcolm Spellman & Dalan Musson and Julius Onah & Peter Glanz[105],Kevin Feige and Nate Moore,,,Captain America: Brave New World,,,,,,,,,,,,,,,,
,"May 2, 2025",Jake Schreier[104],Eric Pearson and Joanna Calo[108],Kevin Feige,,,Thunderbolts* [d],,,,,,,,,,,,,,,,
The Fantastic Four: First Steps,"July 25, 2025",,Josh Friedman and Eric Pearson and Jeff Kaplan & Ian Springer[110][111],Kevin Feige,Matt Shakman[109],,,Released,,,,,,,,,,,,,,,
Spider-Man: Brand New Day,"July 31, 2026[28]",,Chris McKenna & Erik Sommers[113],Kevin Feige and Amy Pascal,Destin Daniel Cretton[112],,,Filming,,,,,,,,,,,,,,,
Avengers: Doomsday,"December 18, 2026[114]",,Michael Waldron and Stephen McFeely[115][116],"Kevin Feige, Anthony Russo, and Joe Russo",Anthony and Joe Russo[115],,,Post-production,,,,,,,,,,,,,,,
Avengers: Secret Wars,"December 17, 2027[114]",,Michael Waldron and Stephen McFeely[115][116],"Kevin Feige, Anthony Russo, and Joe Russo",Anthony and Joe Russo[115],,,In development,,,,,,,,,,,,,,,
,TBA,TBA,,Kevin Feige,,,,In development,Armor Wars,Yassir Lester[117],,,,,,,,,,,,,
,TBA,Ryan Coogler[118][119],,Kevin Feige and Nate Moore,,,,In development,Black Panther 3,Ryan Coogler[118][119],,,,,,,,,,,,,
,TBA,TBA,,Kevin Feige,,,,In development,Blade,Eric Pearson[120],,,,,,,,,,,,,
,TBA,Destin Daniel Cretton[121],,Kevin Feige and Jonathan Schwartz,,,,In development,Untitled Shang-Chi and the Legend of the Ten Rings sequel,Destin Daniel Cretton[121],,,,,,,,,,,,,
,TBA,Jake Schreier[122],,Kevin Feige,,,,In development,Untitled X-Men film,Michael Lesslie[123],,,,,,,,,,,,,
,,,,,,,,,,,Iron Man,"May 2, 2008","$319,034,126","$266,762,121","$585,796,247",89,190,$140 million,[261],,,,
,,,,,,,,,,,The Incredible Hulk,"June 13, 2008","$134,806,913","$129,964,083","$264,770,996",494,625,$137.5–150 million,[262][263],,,,
,,,,,,,,,,,Iron Man 2,"May 7, 2010","$312,433,331","$311,500,000","$623,933,331",95,172,$170–200 million,[264][265],,,,
,,,,,,,,,,,Thor,"May 6, 2011","$181,030,624","$268,295,994","$449,326,618",280,290,$150 million,[266],,,,
,,,,,,,,,,,Captain America: The First Avenger,"July 22, 2011","$176,654,505","$193,915,269","$370,569,774",298,394,$140 million,[267],,,,
,,,,,,,,,,,The Avengers,"May 4, 2012","$623,357,910","$897,180,626","$1,520,538,536",12,10,$220 million,[268][269],,,,
,,,,,,,,,,,Phase Two,Phase Two,Phase Two,Phase Two,Phase Two,Phase Two,Phase Two,Phase Two,Phase Two,,,,
,,,,,,,,,,,Iron Man 3,"May 3, 2013","$409,013,994","$806,563,211","$1,215,577,205",39,25,$200 million,[270][271],,,,
,,,,,,,,,,,Thor: The Dark World,"November 8, 2013","$206,362,140","$438,421,000","$644,783,140",222,164,$150–170 million,[272][271][273],,,,
,,,,,,,,,,,Captain America: The Winter Soldier,"April 4, 2014","$259,766,572","$454,654,931","$714,421,503",134,134,$170–177 million,[274],,,,
,,,,,,,,,,,Guardians of the Galaxy,"August 1, 2014","$333,718,600","$439,631,547","$773,350,147",79,114,$170 million,[275][276],,,,
,,,,,,,,,,,Avengers: Age of Ultron,"May 1, 2015","$459,005,868","$946,012,180","$1,405,018,048",25,15,$250–444 million,[277][278],,,,
,,,,,,,,,,,Ant-Man,"July 17, 2015","$180,202,163","$339,109,802","$519,311,965",283,233,$130 million,[279][280],,,,
,,,,,,,,,,,Phase Three,Phase Three,Phase Three,Phase Three,Phase Three,Phase Three,Phase Three,Phase Three,Phase Three,,,,
,,,,,,,,,,,Captain America: Civil War,"May 6, 2016","$408,084,349","$746,962,067","$1,155,046,416",42,29,$250 million,[281],,,,
,,,,,,,,,,,Doctor Strange,"November 4, 2016","$232,641,920","$445,154,156","$677,796,076",174,155,$165 million,[282][283],,,,
,,,,,,,,,,,Guardians of the Galaxy Vol. 2,"May 5, 2017","$389,813,101","$473,942,950","$863,756,051",50,88,$200 million,[284],,,,
,,,,,,,,,,,Spider-Man: Homecoming,"July 7, 2017","$334,201,140","$545,965,784","$880,166,924",80,78,$175 million,[285],,,,
,,,,,,,,,,,Thor: Ragnarok,"November 3, 2017","$315,058,289","$540,243,517","$855,301,806",97,92,$180 million,[286],,,,
,,,,,,,,,,,Black Panther,"February 16, 2018","$700,426,566","$674,533,163","$1,374,959,729",6,17,$200 million,[287][288],,,,
,,,,,,,,,,,Avengers: Infinity War,"April 27, 2018","$678,815,482","$1,373,599,557","$2,052,415,039",8,6,$325–400 million,[289][290][291],,,,
,,,,,,,,,,,Ant-Man and the Wasp,"July 6, 2018","$216,648,740","$406,025,399","$622,674,139",204,179,$162 million,[292][293],,,,
,,,,,,,,,,,Captain Marvel,"March 8, 2019","$426,829,839","$704,586,607","$1,131,416,446",33,33,$150–175 million,[294][295],,,,
,,,,,,,,,,,Avengers: Endgame,"April 26, 2019","$858,373,000","$1,941,066,100","$2,799,439,100",2,2,$356–400 million,[296][297],,,,
,,,,,,,,,,,Spider-Man: Far From Home,"July 2, 2019","$391,283,774","$746,838,016","$1,138,121,790",49,32,$160 million,[298],,,,
,,,,,,,,,,,Phase Four,Phase Four,Phase Four,Phase Four,Phase Four,Phase Four,Phase Four,Phase Four,Phase Four,,,,
,,,,,,,,,,,Black Widow,"July 9, 2021","$183,651,655","$196,100,000","$379,751,655[e]",290,409,$200 million,[302][303],,,,
,,,,,,,,,,,Shang-Chi and the Legend of the Ten Rings,"September 3, 2021","$224,543,292","$207,700,000","$432,243,292",193,331,$150–200 million,[304][305][306],,,,
,,,,,,,,,,,Eternals,"November 5, 2021","$164,870,234","$237,194,665","$402,064,899",370,377,$236.2 million,[307][308],,,,
,,,,,,,,,,,Spider-Man: No Way Home,"December 17, 2021","$814,866,759","$1,113,174,146","$1,928,040,905",3,7,$200 million,[309][310],,,,
,,,,,,,,,,,Doctor Strange in the Multiverse of Madness,"May 6, 2022","$411,331,607","$544,444,197","$955,775,804",44,68,$172–200 million,[311][312][313],,,,
,,,,,,,,,,,Thor: Love and Thunder,"July 8, 2022","$343,256,830","$417,671,251","$760,928,081",77,123,$250 million,[314][315],,,,
,,,,,,,,,,,Black Panther: Wakanda Forever,"November 11, 2022","$453,829,060","$405,379,776","$859,208,836",30,93,$250 million,[316][317],,,,
,,,,,,,,,,,Phase Five,Phase Five,Phase Five,Phase Five,Phase Five,Phase Five,Phase Five,Phase Five,Phase Five,,,,
,,,,,,,,,,,Ant-Man and the Wasp: Quantumania,"February 17, 2023","$214,504,909","$261,566,271","$476,071,180",223,286,$388.4 million,[318][319],,,,
,,,,,,,,,,,Guardians of the Galaxy Vol. 3,"May 5, 2023","$358,995,815","$486,559,962","$845,555,777",70,99,$250 million,[320][321],,,,
,,,,,,,,,,,The Marvels,"November 10, 2023","$84,500,223","$121,636,602","$206,136,825",1031,922,$375 million,[322][323],,,,
,,,,,,,,,,,Deadpool & Wolverine,"July 26, 2024","$636,745,858","$701,327,787","$1,338,073,645",12,21,$200 million,[324][325],,,,
,,,,,,,,,,,Captain America: Brave New World,"February 14, 2025","$200,500,001","$214,601,576","$415,101,577",254,356,$180 million,[326][327],,,,
,,,,,,,,,,,Thunderbolts*,"May 2, 2025","$190,274,328","$192,162,589","$382,436,917",275,410,$180 million,[328][329],,,,
,,,,,,,,,,,Phase Six,Phase Six,Phase Six,Phase Six,Phase Six,Phase Six,Phase Six,Phase Six,Phase Six,,,,
,,,,,,,,,,,The Fantastic Four: First Steps,"July 25, 2025","$274,286,610","$247,572,118","$521,858,728",136,253,$200 million,[330],,,,
,,,,,,,,,,,Total,Total,"$13,104,471,816","$19,382,596,881","$32,487,068,924",1,1,$7.239–7.724 billion,[257],,,,
,,,,,,,,,,,Iron Man,,,,,,,,,94% (282 reviews)[331],79 (38 reviews)[332],A[333],—
,,,,,,,,,,,The Incredible Hulk,,,,,,,,,68% (237 reviews)[334],61 (38 reviews)[335],A−[336],—
,,,,,,,,,,,Iron Man 2,,,,,,,,,72% (305 reviews)[337],57 (40 reviews)[338],A[339],—
,,,,,,,,,,,Thor,,,,,,,,,77% (296 reviews)[340],57 (40 reviews)[341],B+[342],—
,,,,,,,,,,,Captain America: The First Avenger,,,,,,,,,80% (276 reviews)[343],66 (43 reviews)[344],A−[345],—
,,,,,,,,,,,The Avengers,,,,,,,,,91% (368 reviews)[346],69 (43 reviews)[347],A+[348],—
,,,,,,,,,,,Phase Two,,,,,,,,,Phase Two,Phase Two,Phase Two,Phase Two
,,,,,,,,,,,Iron Man 3,,,,,,,,,79% (331 reviews)[349],62 (44 reviews)[350],A[351],—
,,,,,,,,,,,Thor: The Dark World,,,,,,,,,67% (290 reviews)[352],54 (44 reviews)[353],A−[342],—
,,,,,,,,,,,Captain America: The Winter Soldier,,,,,,,,,90% (311 reviews)[354],70 (48 reviews)[355],A[356],—
,,,,,,,,,,,Guardians of the Galaxy,,,,,,,,,92% (336 reviews)[357],76 (53 reviews)[358],A[359],90%[360]
,,,,,,,,,,,Avengers: Age of Ultron,,,,,,,,,75% (372 reviews)[361],66 (49 reviews)[362],A[348],90%[348]
,,,,,,,,,,,Ant-Man,,,,,,,,,83% (341 reviews)[363],64 (44 reviews)[364],A[365],—
,,,,,,,,,,,Phase Three,,,,,,,,,Phase Three,Phase Three,Phase Three,Phase Three
,,,,,,,,,,,Captain America: Civil War,,,,,,,,,90% (431 reviews)[366],75 (53 reviews)[367],A[348],88%[348]
,,,,,,,,,,,Doctor Strange,,,,,,,,,89% (389 reviews)[368],72 (49 reviews)[369],A[370],91%[370]
,,,,,,,,,,,Guardians of the Galaxy Vol. 2,,,,,,,,,85% (425 reviews)[371],67 (48 reviews)[372],A[360],93%[360]
,,,,,,,,,,,Spider-Man: Homecoming,,,,,,,,,92% (400 reviews)[373],73 (51 reviews)[374],A[375],89%[375]
,,,,,,,,,,,Thor: Ragnarok,,,,,,,,,93% (439 reviews)[376],74 (51 reviews)[377],A[342],90%[342]
,,,,,,,,,,,Black Panther,,,,,,,,,96% (532 reviews)[378],88 (55 reviews)[379],A+[380],95%[380]
,,,,,,,,,,,Avengers: Infinity War,,,,,,,,,85% (492 reviews)[381],68 (54 reviews)[382],A[383],87%[384]
,,,,,,,,,,,Ant-Man and the Wasp,,,,,,,,,87% (446 reviews)[385],70 (56 reviews)[386],A−[293],—
,,,,,,,,,,,Captain Marvel,,,,,,,,,79% (552 reviews)[387],64 (56 reviews)[388],A[389],—
,,,,,,,,,,,Avengers: Endgame,,,,,,,,,94% (551 reviews)[390],78 (57 reviews)[391],A+[392],—
,,,,,,,,,,,Spider-Man: Far From Home,,,,,,,,,91% (455 reviews)[393],69 (55 reviews)[394],A[395],—
,,,,,,,,,,,Phase Four,,,,,,,,,Phase Four,Phase Four,Phase Four,Phase Four
,,,,,,,,,,,Black Widow,,,,,,,,,79% (462 reviews)[396],68 (58 reviews)[397],A−[398],88%[398]
,,,,,,,,,,,Shang-Chi and the Legend of the Ten Rings,,,,,,,,,92% (343 reviews)[399],71 (52 reviews)[400],A[401],91%[401]
,,,,,,,,,,,Eternals,,,,,,,,,47% (417 reviews)[402],52 (62 reviews)[403],B[404],78%[404]
,,,,,,,,,,,Spider-Man: No Way Home,,,,,,,,,93% (432 reviews)[405],71 (60 reviews)[406],A+[407],96%[407]
,,,,,,,,,,,Doctor Strange in the Multiverse of Madness,,,,,,,,,73% (466 reviews)[408],60 (65 reviews)[409],B+[410],82%[410]
,,,,,,,,,,,Thor: Love and Thunder,,,,,,,,,63% (449 reviews)[411],57 (64 reviews)[412],B+[413],77%[413]
,,,,,,,,,,,Black Panther: Wakanda Forever,,,,,,,,,84% (450 reviews)[414],67 (62 reviews)[415],A[416],93%[416]
,,,,,,,,,,,Phase Five,,,,,,,,,Phase Five,Phase Five,Phase Five,Phase Five
,,,,,,,,,,,Ant-Man and the Wasp: Quantumania,,,,,,,,,46% (415 reviews)[417],48 (61 reviews)[418],B[419],75%[419]
,,,,,,,,,,,Guardians of the Galaxy Vol. 3,,,,,,,,,82% (410 reviews)[420],64 (63 reviews)[421],A[422],91%[422]
,,,,,,,,,,,The Marvels,,,,,,,,,63% (377 reviews)[423],50 (57 reviews)[424],B[425],73%[425]
,,,,,,,,,,,Deadpool & Wolverine,,,,,,,,,78% (419 reviews)[426],56 (58 reviews)[427],A[428],96%[428]
,,,,,,,,,,,Captain America: Brave New World,,,,,,,,,46% (365 reviews)[429],42 (56 reviews)[430],B–[431],—
,,,,,,,,,,,Thunderbolts*,,,,,,,,,88% (376 reviews)[432],68 (53 reviews)[433],A–[434],—
,,,,,,,,,,,Phase Six,,,,,,,,,Phase Six,Phase Six,Phase Six,Phase Six
,,,,,,,,,,,The Fantastic Four: First Steps,,,,,,,,,86% (398 reviews)[435],65 (54 reviews)[436],A–[437],86%[438]
